id,http_status,https,mobile,load_ms,builder_live,title,audit_grade,error,checked_at
8ac5f98b-c166-4140-8a78-0bc04296dbb4,404,1,0,189,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:56:51+00:00
28a7771c-6302-4eb3-b76e-a1b978f917d1,404,0,0,202,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:56:51+00:00
8b7c1dd3-d237-44c6-8ff4-fa3e58bc8d19,404,1,0,199,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:56:51+00:00
33bd6c6f-a2a3-4ef9-8bf6-da7e23642542,404,1,0,219,,404 - Page Not Found,broken,,2026-06-22T12:56:51+00:00
ca8ba913-ed8b-429c-8949-d7c9803fe44c,404,1,1,239,,404 Not Found,broken,,2026-06-22T12:56:51+00:00
8610f94b-727d-4bda-9c00-08e89e27ed1b,404,1,0,244,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:56:51+00:00
a07dc203-f63f-4422-9fa6-130b1a40a842,404,1,0,241,,Error 404 (Not Found)!!1,broken,,2026-06-22T12:56:51+00:00
c8fe104a-a795-4538-a206-cfcf79a2f1e9,404,1,1,246,Wix,404 Error: Page Not Found | Wix.com,broken,,2026-06-22T12:56:51+00:00
5b2aa7aa-f7e1-467e-ba07-4758aa8b4595,404,1,1,330,Wix,404 Error: Page Not Found | Wix.com,broken,,2026-06-22T12:56:51+00:00
039f99a9-73a7-450d-9a20-b21023733993,200,1,1,376,Weebly,,good,,2026-06-22T12:56:51+00:00
8a79e7a5-6343-4343-b8fe-6e90bc5e8a7d,404,0,1,218,Wix,404 Error: Page Not Found | Wix.com,broken,,2026-06-22T12:56:51+00:00
39d4508b-1549-40c9-9205-b8e1d3e22978,404,1,0,275,,404 - Page Not Found,broken,,2026-06-22T12:56:51+00:00
64168c4f-71a4-4da5-be90-bd4d3a892b27,200,1,1,536,Weebly,,good,,2026-06-22T12:56:51+00:00
d3e65567-a483-4a15-9040-52e972f01800,200,1,1,213,Weebly,,good,,2026-06-22T12:56:51+00:00
7245987e-e8db-495d-9021-1932f5a5d0ea,200,1,1,375,GoDaddy,LocalQ 707 at the LAB,good,,2026-06-22T12:56:51+00:00
